X;CountryCode;RegionCode;missingH12
Kuwait;KWT;MEA_other;MEA
Kyrgyzstan;KGZ;CAS;REF
Lao People's Democratic Republic;LAO;SEA_other;OAS
Latvia;LVA;ECE_other;EUR
Lebanon;LBN;MEA_other;MEA
Lesotho;LSO;AFC_other;SSA
Liberia;LBR;AFC_other;SSA
Libya;LBY;NAF_other;MEA
Liechtenstein;LIE;NEN_other;NEU
Lithuania;LTU;ECE_other;EUR
Luxembourg;LUX;BELUX;EUR
Macao;MAC;CHA;CHA
Macedonia, the former Yugoslav Republic of;MKD;NES_EU;NEU
Madagascar;MDG;AFC_other;SSA
Malawi;MWI;AFC_other;SSA
Malaysia;MYS;SEA_other;OAS
Maldives;MDV;SEA_other;OAS
Mali;MLI;NAF_other;MEA
Malta;MLT;ITA;EUR
Marshall Islands;MHL;SEA_other;OAS
Martinique;MTQ;OLA;LAM
Mauritania;MRT;NAF_other;MEA
Mauritius;MUS;AFC_other;SSA
Mayotte;MYT;AFC_other;SSA
Mexico;MEX;MEX;LAM
Micronesia, Federated States of;FSM;SEA_other;OAS
Moldova, Republic of;MDA;NES_EU;NEU
Monaco;MCO;NES_EU;NEU
Mongolia;MNG;CAS;REF
Montenegro;MNE;NES_EU;NEU
Montserrat;MSR;OLA;LAM
Morocco;MAR;NAF_other;MEA
Mozambique;MOZ;AFC_other;SSA
Myanmar;MMR;SEA_other;OAS
Namibia;NAM;AFC_other;SSA
Nauru;NRU;SEA_other;OAS
Nepal;NPL;OAS_other;OAS
Netherlands;NLD;NLD;EUR
New Caledonia;NCL;SEA_other;OAS
New Zealand;NZL;ANZ;CAZ
Nicaragua;NIC;OLA;LAM
Niger;NER;NAF_other;MEA
Nigeria;NGA;NGA;SSA
Niue;NIU;SEA_other;OAS
Norfolk Island;NFK;SEA_other;OAS
Northern Mariana Islands;MNP;SEA_other;OAS
Norway;NOR;NOR;NEU
Oman;OMN;MEA_other;MEA
Pakistan;PAK;PAK;OAS
Palau;PLW;SEA_other;OAS
Palestine, State of;PSE;MEA_other;MEA
Panama;PAN;OLA;LAM
Papua New Guinea;PNG;SEA_other;OAS
Paraguay;PRY;OLA;LAM
Peru;PER;OLA;LAM
Philippines;PHL;PHL;OAS
Pitcairn;PCN;SEA_other;OAS
Poland;POL;POL;EUR
Portugal;PRT;PRT;EUR
Puerto Rico;PRI;OLA;LAM
Qatar;QAT;MEA_other;MEA
Reunion;REU;AFC_other;SSA
Romania;ROU;ECS;EUR
Russian Federation;RUS;RUS;REF
Rwanda;RWA;AFC_other;SSA
Saint Barthelemy;BLM;OLA;LAM
Saint Helena, Ascension and Tristan da Cunha;SHN;AFC_other;SSA
Saint Kitts and Nevis;KNA;OLA;LAM
Saint Lucia;LCA;OLA;LAM
Saint Martin (French part);MAF;OLA;LAM
Saint Pierre and Miquelon;SPM;FRA;EUR
Saint Vincent and the Grenadines;VCT;OLA;LAM
Samoa;WSM;SEA_other;OAS
San Marino;SMR;NES_EU;NEU
Sao Tome and Principe;STP;AFC_other;SSA
Saudi Arabia;SAU;SAU;MEA
Senegal;SEN;AFC_other;SSA
Serbia;SRB;NES_EU;NEU
Seychelles;SYC;AFC_other;SSA
Sierra Leone;SLE;AFC_other;SSA
Singapore;SGP;SEA_other;OAS
Sint Maarten (Dutch part);SXM;OLA;LAM
Slovakia;SVK;ECE_other;EUR
Slovenia;SVN;ECS;EUR
Solomon Islands;SLB;SEA_other;OAS
Somalia;SOM;AFC_other;SSA
South Africa;ZAF;ZAF;SSA
South Georgia and the South Sandwich Islands;SGS;OLA;LAM
South Sudan;SSD;AFC_other;SSA
Spain;ESP;ESP;EUR
Sri Lanka;LKA;SEA_other;OAS
Sudan;SDN;NAF_other;MEA
Suriname;SUR;OLA;LAM
Svalbard and Jan Mayen;SJM;NOR;NEU
Swaziland;SWZ;AFC_other;SSA
Sweden;SWE;SWE;EUR
Switzerland;CHE;NEN_other;NEU
Syrian Arab Republic;SYR;MEA_other;MEA
Taiwan, Province of China;TWN;CHA;CHA
Tajikistan;TJK;CAS;REF
Tanzania, United Republic of;TZA;AFC_other;SSA
Thailand;THA;THA;OAS
Timor-Leste;TLS;SEA_other;OAS
Togo;TGO;AFC_other;SSA
Tokelau;TKL;SEA_other;OAS
Tonga;TON;SEA_other;OAS
Trinidad and Tobago;TTO;OLA;LAM
Tunisia;TUN;NAF_other;MEA
Turkey;TUR;TUR;NEU
Turkmenistan;TKM;CAS;REF
Turks and Caicos Islands;TCA;OLA;LAM
Tuvalu;TUV;SEA_other;OAS
Uganda;UGA;AFC_other;SSA
Ukraine;UKR;NES_EU;NEU
United Arab Emirates;ARE;MEA_other;MEA
United Kingdom;GBR;GBR;EUR
United States;USA;USA;USA
United States Minor Outlying Islands;UMI;SEA_other;OAS
Uruguay;URY;OLA;LAM
Uzbekistan;UZB;CAS;REF
Vanuatu;VUT;SEA_other;OAS
Venezuela, Bolivarian Republic of;VEN;OLA;LAM
Viet Nam;VNM;VNM;OAS
Virgin Islands, British;VGB;OLA;LAM
Virgin Islands, U.S.;VIR;OLA;LAM
Wallis and Futuna;WLF;SEA_other;OAS
Western Sahara;ESH;NAF_other;MEA
Yemen;YEM;MEA_other;MEA
Zambia;ZMB;AFC_other;SSA
Zimbabwe;ZWE;AFC_other;SSA
