Country;CountryCode;EU;EUETS;OECD;G7;G20;BRICS;African Union;OPEC;OPEC+;NATO;ASEAN;Mercosur;Andean Community;RCEP;USMCA;AfCFTA;Belt and Road Initiative;SCO;GCC;LAS;OIC
Mali;MLI;;;;;;;member;;;;;;;;;member;member;;;;member
Malta;MLT;member;member;;;;;;;;;;;;;;;member;;;;
Marshall Islands;MHL;;;;;;;;;;;;;;;;;member;;;;
Martinique;MTQ;;;;;;;;;;;;;;;;;;;;;
Mauritania;MRT;;;;;;;member;;;;;;;;;member;member;;;member;member
Mauritius;MUS;;;;;;;member;;;;;;;;;member;member;;;;
Mayotte;MYT;;;;;;;;;;;;;;;;;;;;;
Mexico;MEX;;;member;;member;;;;ex-member;;;;;;member;;member;;;;
Micronesia, Federated States of;FSM;;;;;;;;;;;;;;;;;member;;;;
Moldova, Republic of;MDA;candidate;;;;;;;;;;;;;;;;member;;;;
Monaco;MCO;;;;;;;;;;;;;;;;;;;;;
Mongolia;MNG;;;;;;;;;;;;;;;;;member;;;;
Montenegro;MNE;candidate;;;;;;;;;member;;;;;;;member;;;;
Montserrat;MSR;;;;;;;;;;;;;;;;;;;;;
Morocco;MAR;;;;;;;member;;;;;;;;;member;member;;;member;member
Mozambique;MOZ;;;;;;;member;;;;;;;;;member;member;;;;member
Myanmar;MMR;;;;;;;;;;;member;;;member;;;member;;;;
Namibia;NAM;;;;;;;member;;;;;;;;;member;member;;;;
Nauru;NRU;;;;;;;;;;;;;;;;;member;;;;
Nepal;NPL;;;;;;;;;;;;;;;;;member;;;;
Netherlands;NLD;member;member;member;;;;;;;member;;;;;;;;;;;
New Caledonia;NCL;;;;;;;;;;;;;;;;;;;;;
New Zealand;NZL;;;member;;;;;;;;;;;member;;;;;;;
Nicaragua;NIC;;;;;;;;;;;;;;;;;member;;;;
Niger;NER;;;;;;;member;;;;;;;;;member;member;;;;member
Nigeria;NGA;;;;;;partner;member;member;member;;;;;;;member;member;;;;member
Niue;NIU;;;;;;;;;;;;;;;;;;;;;
Norfolk Island;NFK;;;;;;;;;;;;;;;;;;;;;
Northern Mariana Islands;MNP;;;;;;;;;;;;;;;;;;;;;
Norway;NOR;;member;member;;;;;;;member;;;;;;;;;;;
Oman;OMN;;;;;;;;;member;;;;;;;;member;;member;member;member
Pakistan;PAK;;;;;;;;;;;;;;;;;member;member;;;member
Palau;PLW;;;;;;;;;;;;;;;;;member;;;;
Palestine, State of;PSE;;;;;;;;;;;;;;;;;;;;member;
Panama;PAN;;;;;;;;;;;;partner;;;;;;;;;
Papua New Guinea;PNG;;;;;;;;;;;;;;;;;member;;;;
Paraguay;PRY;;;;;;;;;;;;member;;;;;;;;;
Peru;PER;;;candidate;;;;;;;;;partner;member;;;;member;;;;
Philippines;PHL;;;;;;;;;;;member;;;member;;;member;;;;
Pitcairn;PCN;;;;;;;;;;;;;;;;;;;;;
Poland;POL;member;member;member;;;;;;;member;;;;;;;member;;;;
Portugal;PRT;member;member;member;;;;;;;member;;;;;;;member;;;;
Puerto Rico;PRI;;;;;;;;;;;;;;;;;;;;;
Qatar;QAT;;;;;;;;ex-member;ex-member;;;;;;;;member;;member;member;member
Reunion;REU;;;;;;;;;;;;;;;;;;;;;
Romania;ROU;member;member;candidate;;;;;;;member;;;;;;;member;;;;
Russian Federation;RUS;;;;;member;member;;;member;;;;;;;;member;member;;;
Rwanda;RWA;;;;;;;member;;;;;;;;;member;member;;;;
Saint Barthelemy;BLM;;;;;;;;;;;;;;;;;;;;;
Saint Helena, Ascension and Tristan da Cunha;SHN;;;;;;;;;;;;;;;;;;;;;
Saint Kitts and Nevis;KNA;;;;;;;;;;;;;;;;;;;;;
Saint Lucia;LCA;;;;;;;;;;;;;;;;;;;;;
Saint Martin (French part);MAF;;;;;;;;;;;;;;;;;;;;;
Saint Pierre and Miquelon;SPM;;;;;;;;;;;;;;;;;;;;;
Saint Vincent and the Grenadines;VCT;;;;;;;;;;;;;;;;;;;;;
Samoa;WSM;;;;;;;;;;;;;;;;;member;;;;
San Marino;SMR;;;;;;;;;;;;;;;;;;;;;
Sao Tome and Principe;STP;;;;;;;member;;;;;;;;;member;member;;;;
Saudi Arabia;SAU;;;;;member;member;;member;member;;;;;;;;member;;member;member;member
Senegal;SEN;;;;;;;member;;;;;;;;;member;member;;;;member
Serbia;SRB;candidate;;;;;;;;;;;;;;;;member;;;;
Seychelles;SYC;;;;;;;member;;;;;;;;;member;member;;;;
Sierra Leone;SLE;;;;;;;member;;;;;;;;;member;member;;;;member
Singapore;SGP;;;;;;;;;;;member;;;member;;;member;;;;
Sint Maarten (Dutch part);SXM;;;;;;;;;;;;;;;;;;;;;
Slovakia;SVK;member;member;member;;;;;;;member;;;;;;;member;;;;
Slovenia;SVN;member;member;member;;;;;;;member;;;;;;;member;;;;
Solomon Islands;SLB;;;;;;;;;;;;;;;;;member;;;;
Somalia;SOM;;;;;;;member;;;;;;;;;member;member;;;member;member
South Africa;ZAF;;;partner;;member;member;member;;;;;;;;;member;member;;;;
South Georgia and the South Sandwich Islands;SGS;;;;;;;;;;;;;;;;;;;;;
South Sudan;SSD;;;;;;;member;;ex-member;;;;;;;member;member;;;;
Spain;ESP;member;member;member;;;;;;;member;;;;;;;;;;;
Sri Lanka;LKA;;;;;;;;;;;;;;;;;member;;;;
Sudan;SDN;;;;;;;member;;ex-member;;;;;;;member;member;;;member;member
Suriname;SUR;;;;;;;;;;;;partner;;;;;member;;;;member
Svalbard and Jan Mayen;SJM;;;;;;;;;;;;;;;;;;;;;
Swaziland;SWZ;;;;;;;member;;;;;;;;;member;;;;;
Sweden;SWE;member;member;member;;;;;;;member;;;;;;;;;;;
Switzerland;CHE;;;member;;;;;;;;;;;;;;;;;;
Syrian Arab Republic;SYR;;;;;;;;;;;;;;;;;member;;;member;member
Taiwan, Province of China;TWN;;;;;;;;;;;;;;;;;;;;;
Tajikistan;TJK;;;;;;;;;;;;;;;;;member;member;;;member
Tanzania, United Republic of;TZA;;;;;;;member;;;;;;;;;member;member;;;;
Thailand;THA;;;candidate;;;partner;;;;;member;;;member;;;member;;;;
Timor-Leste;TLS;;;;;;;;;;;;;;;;;member;;;;
Togo;TGO;;;;;;;member;;;;;;;;;member;member;;;;member
Tokelau;TKL;;;;;;;;;;;;;;;;;;;;;
Tonga;TON;;;;;;;;;;;;;;;;;member;;;;
Trinidad and Tobago;TTO;;;;;;;;;;;;;;;;;member;;;;
Tunisia;TUN;;;;;;;member;;;;;;;;;member;member;;;member;member
Turkey;TUR;candidate;;member;;member;;;;;member;;;;;;;member;;;;member
Turkmenistan;TKM;;;;;;;;;;;;;;;;;member;;;;member
Turks and Caicos Islands;TCA;;;;;;;;;;;;;;;;;;;;;
Tuvalu;TUV;;;;;;;;;;;;;;;;;member;;;;
Uganda;UGA;;;;;;partner;member;;;;;;;;;member;member;;;;member
Ukraine;UKR;candidate;;;;;;;;;candidate;;;;;;;member;;;;
United Arab Emirates;ARE;;;;;;member;;member;member;;;;;;;;member;;member;member;member
United Kingdom;GBR;ex-member;;member;member;member;;;;;member;;;;;;;;;;;
United States;USA;;;member;member;member;;;;;member;;;;;member;;;;;;
United States Minor Outlying Islands;UMI;;;;;;;;;;;;;;;;;;;;;
Uruguay;URY;;;;;;;;;;;;member;;;;;member;;;;
Uzbekistan;UZB;;;;;;partner;;;;;;;;;;;member;member;;;member
Vanuatu;VUT;;;;;;;;;;;;;;;;;member;;;;
Venezuela, Bolivarian Republic of;VEN;;;;;;;;member;member;;;ex-member;ex-member;;;;member;;;;
Viet Nam;VNM;;;;;;;;;;;member;;;member;;;member;;;;
Virgin Islands, British;VGB;;;;;;;;;;;;;;;;;;;;;
Virgin Islands, U.S.;VIR;;;;;;;;;;;;;;;;;;;;;
Wallis and Futuna;WLF;;;;;;;;;;;;;;;;;;;;;
Western Sahara;ESH;;;;;;;member;;;;;;;;;member;;;;;
Yemen;YEM;;;;;;;;;;;;;;;;;;;;member;member
Zambia;ZMB;;;;;;;member;;;;;;;;;member;member;;;;
Zimbabwe;ZWE;;;;;;;member;;;;;;;;;member;member;;;;
