X;CountryCode;RegionCode;missingH12
San Marino;SMR;NES_EU;NEU
Sao Tome and Principe;STP;AFC;SSA
Saudi Arabia;SAU;SAU;MEA
Senegal;SEN;AFC;SSA
Serbia;SRB;NES_EU;NEU
Seychelles;SYC;AFC;SSA
Sierra Leone;SLE;AFC;SSA
Singapore;SGP;SEA;OAS
Sint Maarten (Dutch part);SXM;OLA;LAM
Slovakia;SVK;ECE_other;EUR
Slovenia;SVN;ECS;EUR
Solomon Islands;SLB;SEA;OAS
Somalia;SOM;AFC;SSA
South Africa;ZAF;ZAF;SSA
South Georgia and the South Sandwich Islands;SGS;OLA;LAM
South Sudan;SSD;AFC;SSA
Spain;ESP;ESW;EUR
Sri Lanka;LKA;SEA;OAS
Sudan;SDN;NAF;MEA
Suriname;SUR;OLA;LAM
Svalbard and Jan Mayen;SJM;NOR;NEU
Swaziland;SWZ;AFC;SSA
Sweden;SWE;ENC;EUR
Switzerland;CHE;NEN_other;NEU
Syrian Arab Republic;SYR;MEA_other;MEA
Taiwan, Province of China;TWN;CHA;CHA
Tajikistan;TJK;CAS;REF
Tanzania, United Republic of;TZA;AFC;SSA
Thailand;THA;SEA;OAS
Timor-Leste;TLS;SEA;OAS
Togo;TGO;AFC;SSA
Tokelau;TKL;SEA;OAS
Tonga;TON;SEA;OAS
Trinidad and Tobago;TTO;OLA;LAM
Tunisia;TUN;NAF;MEA
Turkey;TUR;TUR;NEU
Turkmenistan;TKM;CAS;REF
Turks and Caicos Islands;TCA;OLA;LAM
Tuvalu;TUV;SEA;OAS
Uganda;UGA;AFC;SSA
Ukraine;UKR;NES_EU;NEU
United Arab Emirates;ARE;MEA_other;MEA
United Kingdom;GBR;GBR;EUR
United States;USA;USA;USA
United States Minor Outlying Islands;UMI;SEA;OAS
Uruguay;URY;OLA;LAM
Uzbekistan;UZB;CAS;REF
Vanuatu;VUT;SEA;OAS
Venezuela, Bolivarian Republic of;VEN;OLA;LAM
Viet Nam;VNM;SEA;OAS
Virgin Islands, British;VGB;OLA;LAM
Virgin Islands, U.S.;VIR;OLA;LAM
Wallis and Futuna;WLF;SEA;OAS
Western Sahara;ESH;NAF;MEA
Yemen;YEM;MEA_other;MEA
Zambia;ZMB;AFC;SSA
Zimbabwe;ZWE;AFC;SSA
